,Area,Latitude,Longitude,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
69," Bonnyrigg, NSW, Australia",-33.8936698,150.888281,0,2,0,7,2,4,7,0,9,3
70," Abbotsbury, NSW, Australia",-33.8692846,150.8667029,0,0,0,1,0,4,4,0,2,1
71," Lansvale, NSW, Australia",-33.9003985,150.95107819999998,0,0,0,4,3,8,10,0,4,3
72," Canley Heights, NSW, Australia",-33.881666700000004,150.9261111,2,1,0,27,1,3,5,0,15,0
73,"Edensor Park, NSW, Australia",-33.8802849,150.8762602,0,3,0,11,1,4,10,0,4,1
74,"Fairfield, NSW, Australia",-33.86744035,150.8893104,1,0,0,5,5,5,1,0,1,1
75," West, NSW, Australia",-27.4866094,-58.824699,2,1,1,7,2,10,3,1,7,0
76," Prairiewood, NSW, Australia",-33.8631743,150.9055074,3,1,0,20,2,3,11,0,19,3
77," Kemps Creek, NSW, Australia",-33.8721433,150.7938975,0,0,0,0,0,1,1,0,2,0
78," Wetherill Park, NSW, Australia",-33.8483333,150.9011111,3,1,0,19,1,3,7,1,10,4
79," Wakeley, NSW, Australia",-33.873611100000005,150.9086111,1,2,0,4,2,5,5,0,6,0
80," St Albans, NSW, Australia",-33.2924423,150.9718531,0,0,0,0,1,0,0,0,0,0
81," Ebenezer, NSW, Australia",-33.5166293,150.88744340000002,0,0,0,0,0,0,1,0,0,0
82," McGraths Hill, NSW, Australia",-32.44825,152.39162,0,0,0,0,0,0,0,0,0,0
83," Clarendon, NSW, Australia",-33.6105511,150.7888909,2,0,0,2,1,2,5,0,1,6
84," Bligh Park, NSW, Australia",-33.6383333,150.7980556,1,0,0,4,1,2,7,0,3,1
85," Westmead, NSW, Australia",-33.80764979999999,150.98772649999998,5,6,0,13,1,4,19,3,10,7
86," Pemulwuy, NSW, Australia",-33.8164641,150.92844409999998,1,0,0,8,0,7,8,0,4,1
87," Merrylands West, NSW, Australia",-33.8359501,150.9681261,1,0,0,5,1,4,6,0,9,3
88," Holroyd, NSW, Australia",-33.829715500000006,150.9974898,2,8,0,6,3,4,6,1,19,5
89," North Epping, NSW, Australia",-33.7586111,151.0941667,0,1,0,4,0,4,7,0,4,0
90," Cheltenham, NSW, Australia",-33.756944399999995,151.0775,0,0,0,6,0,8,4,0,3,3
